com.tencent.tmgp.pubgmhd 3 4 4 4
com.tencent.ig 3 4 4 4
com.pubg.krmobile 3 4 4 4
com.vng.pubgmobile 3 4 4 4
com.rekoo.pubgm 3 4 4 4
com.tencent.igce 3 4 4 4
com.tencent.tmgp.sgame 3 4 7 7
com.riotgames.league.wildrifttw 3 4 4 5
com.tencent.lolm 3 4 4 5
com.tencent.tmgp.speedmobile 3 4 7 8
com.tencent.tmgp.cod 5 5 5 5
com.tencent.tmgp.cf 3 4 4 5
com.tencent.YiRen 3 3 4 4
com.tencent.af 3 3 4 4
com.tencent.tmgp.WePop 3 3 4 4
com.miHoYo.Yuanshen 5 5 5 5
com.miHoYo.ys.bilibili 5 5 5 5
com.miHoYo.bh3tw 5 5 5 5
com.miHoYo.enterprise.NGHSoDBeta 5 5 5 5
com.tencent.tmgp.bh3 5 5 5 5
com.miHoYo.GenshinImpact 5 5 5 5
com.protopop.brightridge 7 7 7 7
hk.com.joybomb.bbm3 3 3 4 4
com.pwrd.hotta.laohu 5 5 5 5
com.protopop.vandgels 7 7 7 7
com.blizzard.diablo.immortal 5 5 5 5
com.netease.g67 5 5 5 5
com.tencent.tmgp.g67 5 5 5 5
com.netease.dwrg.mi 5 5 5 5
com.tencent.tmgp.dwrg 5 5 5 5
com.netease.dwrg 5 5 5 5
com.netease.idv_tw.googleplay 5 5 5 5
com.tencent.tmgp.wuxia 5 5 5 5

